in:Product,in:Purchase Type,Quantity,Shipping Method,Package,Dry Ice Fee,Handling Fee,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
EM-1001,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1001,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1002,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1002,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1003,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1003,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1004,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1004,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1005,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1005,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1006,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1006,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1007,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1007,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1008,Media Kit Only,"1,2",Overnight,2,15,0,22,49,56.78,59,59
EM-1008,Media Kit Only,> 2,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1101,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
EM-1101,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1101,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1101,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-1102,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
EM-1102,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1102,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1102,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-1103,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
EM-1103,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1103,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1103,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-1104,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
