accumulate,,,,,,,,,,,
in:product_types_set,in:total_quantity,in:pkg_qty,in:vendor,out:Shipping Method,out:Dry Ice Fee,out:Handling Fee,out:Zone 1,out:Zone 2,out:Zone 3,out:Zone 4,out:Zone 5
"$(""Growth Media"")",<=2,,BioTime,Overnight,1500,0,2200,4900,5678,5900,5900
"$(""Growth Media"")",>2,,BioTime,Overnight,1500,0,2544,5900,6595,6900,6900
"$(""Basal Media"")",<=4,,BioTime,Overnight,0,0,2200,4900,5678,5900,5900
"$(""Basal Media"")",<=4,,BioTime,2 day,0,0,1200,1563,2233,3590,3744
"$(""Basal Media"")",>4,,BioTime,Overnight,0,0,2544,5900,6595,7436,7855
"$(""Basal Media"")",<=4,,BioTime,2 day,0,0,1500,2000,2745,4565,4728
"$(""Differentiation Kit"")",<=4,,BioTime,Overnight,1500,0,2200,4900,5678,5900,5900
"$(""Differentiation Kit"")",>4,,BioTime,Overnight,1500,0,2544,5900,6595,6900,6900
"$(""Human Embryonic Stem Cell"", ""Human Embryonic Progenitor"")",,,BioTime,Overnight,1500,0,2200,4900,5678,5900,5900
"$in intersection $(""Differentiation Kit"" ""Human Embryonic Progenitor Package"" ""Growth Media"" ""Basal Media"") #> 0",,<=4,BioTime,Overnight,1500,0,2200,4900,5678,5900,5900
"$in intersection $(""Differentiation Kit"" ""Human Embryonic Progenitor Package"" ""Growth Media"" ""Basal Media"") #> 0",,>4,BioTime,Overnight,1500,0,2544,5900,6595,6900,6900
